date,n_stocks,daily_pearson_ic,daily_spearman_ic,split
2018-06-20,964,0.05350252478809637,0.009726499524231583,train
2018-06-21,964,0.2960496228118326,0.3538759868021608,train
2018-06-22,966,-0.28178199682143296,-0.28299431680038906,train
2018-06-25,973,0.2276003183772952,0.2577451942306375,train
2018-06-26,970,0.2616881539352516,0.2696024444598928,train
2018-06-27,968,0.018199139532702358,-0.010853120438164159,train
2018-06-28,967,0.2940809906218639,0.35330689146728966,train
2018-06-29,971,-0.12993354547080702,-0.15250049049583242,train
2018-07-02,974,0.21999398961737043,0.23538182762991058,train
2018-07-03,977,0.12574772341800455,0.15819176292553613,train
2018-07-05,974,-0.18947985204881893,-0.2082560537790417,train
2018-07-06,974,0.3144092765453195,0.35335853318506044,train
2018-07-09,971,0.15137758584312364,0.146324611800645,train
2018-07-10,968,0.058447842867509175,0.08060926310518676,train
2018-07-11,968,0.18703558763780828,0.2400982662036637,train
2018-07-12,965,0.029169334161552887,-0.002829551292997349,train
2018-07-13,964,-0.06305186491500431,0.04376443384526767,train
2018-07-16,957,-0.07750592354908842,-0.038975622910144184,train
2018-07-17,940,0.08888665670215422,0.10340950989326136,train
2018-07-18,912,0.014948985639091047,0.010306385512663618,train
2018-07-19,894,0.1050240497838106,0.14465440590646836,train
2018-07-20,902,0.025899553586747594,0.052796376285811415,train
2018-07-23,897,0.15334306549744225,0.16907582886237818,train
2018-07-24,854,0.010435359469318539,0.023812702592817616,train
2018-07-25,760,-0.3128508105843238,-0.33087837669775555,train
2018-07-26,739,0.08914366020375025,0.05351053100505745,train
2018-07-27,789,-0.00502203150449159,-0.016617191151753224,train
2018-07-30,843,0.011551552683056009,0.03406337930730631,train
2018-07-31,855,0.17227754921801877,0.17005067180882652,train
2018-08-01,779,-0.07708790970960558,-0.1034190118218695,train
2018-08-02,789,0.10565059481256668,0.12694932831597375,train
2018-08-03,828,0.06885193729867238,0.023200359009034825,train
2018-08-06,889,0.24826289331215232,0.3167360193987103,train
2018-08-07,894,-0.006111331272209812,0.0058465084394349375,train
2018-08-08,870,0.11202767027715901,0.06430025676144295,train
2018-08-09,892,0.07789842988540549,0.09583737840311483,train
2018-08-10,925,0.07849499314226567,0.09501574657773817,train
2018-08-13,953,0.12823662024958574,0.08897430768829025,train
2018-08-14,958,-0.22652952335160573,-0.2954236615894436,train
2018-08-15,960,0.3764299464241396,0.3885058736400633,train
2018-08-16,958,-0.006587779195011112,0.03752579706531718,train
2018-08-17,958,0.08671718665188663,0.12928109296883059,train
2018-08-20,955,0.19829697491826476,0.2275200769768547,train
2018-08-21,949,0.11390716021226524,0.10066754550339509,train
2018-08-22,945,-0.004424498518412091,-0.004346204605053535,train
2018-08-23,944,0.0834888560957782,0.026205651012952122,train
2018-08-24,952,0.20633659704577595,0.17653527650176748,train
2018-08-27,956,0.12019128676932411,0.15738763294702526,train
2018-08-28,952,0.07154278722492355,0.06895343577861383,train
2018-08-29,942,-0.08497390740208094,-0.1201785558511877,train
2018-08-30,936,-0.04767509101344356,-0.08609687580764745,train
2018-08-31,942,0.12480124098888747,0.099795290434641,train
2018-09-04,949,-0.0158661773588412,-0.04669019430115384,train
2018-09-05,949,0.05269841126849429,0.09362487904307598,train
2018-09-06,942,-0.10845469965887518,-0.12263033285915981,train
2018-09-07,941,0.17631746642907806,0.17600036067551605,train
2018-09-10,945,-0.10782680279454017,-0.029149429773229187,train
2018-09-11,949,-0.0669179668744868,0.04499194738577245,train
2018-09-12,949,-0.0048638580214338,-0.06036317755749879,train
2018-09-13,951,0.1121871449225816,0.09710273721799224,train
2018-09-14,949,-0.036218335512925456,-0.008797444133178229,train
2018-09-17,947,0.09216687252078606,0.07624837277444683,train
2018-09-18,946,0.09107275034835104,0.10400777906261004,train
2018-09-19,943,0.2941119274262982,0.2801907989285191,train
2018-09-20,947,0.1148381253255671,0.12011273452688757,train
2018-09-21,948,0.06736138665482995,-0.010541864372870968,train
