year,binding_constraint,stock_days,aum
2013,MISSING_LOOKBACK,1280,1000000000
2013,PARTICIPATION_CAP,114206,1000000000
2013,PRICE_FAIL,3880,1000000000
2013,TARGET_WEIGHT,71766,1000000000
2014,ADV_FAIL,33109,1000000000
2014,EARN_WINDOW,4874,1000000000
2014,MISSING_LOOKBACK,1280,1000000000
2014,PARTICIPATION_CAP,127327,1000000000
2014,PRICE_FAIL,2624,1000000000
2014,TARGET_WEIGHT,82786,1000000000
2015,ADV_FAIL,24687,1000000000
2015,EARN_WINDOW,8108,1000000000
2015,MISSING_LOOKBACK,1600,1000000000
2015,PARTICIPATION_CAP,127594,1000000000
2015,PRICE_FAIL,2512,1000000000
2015,TARGET_WEIGHT,87497,1000000000
2016,ADV_FAIL,20424,1000000000
2016,EARN_WINDOW,8577,1000000000
2016,MISSING_LOOKBACK,1040,1000000000
2016,PARTICIPATION_CAP,130133,1000000000
2016,PRICE_FAIL,1692,1000000000
2016,TARGET_WEIGHT,89959,1000000000
2016,VOL_FAIL,173,1000000000
2017,ADV_FAIL,15032,1000000000
2017,EARN_WINDOW,9077,1000000000
2017,MISSING_LOOKBACK,1120,1000000000
2017,PARTICIPATION_CAP,131458,1000000000
2017,PRICE_FAIL,978,1000000000
2017,TARGET_WEIGHT,93274,1000000000
2017,VOL_FAIL,61,1000000000
2018,ADV_FAIL,7798,1000000000
2018,EARN_WINDOW,9698,1000000000
2018,MISSING_LOOKBACK,1120,1000000000
2018,PARTICIPATION_CAP,126996,1000000000
2018,PRICE_FAIL,376,1000000000
2018,TARGET_WEIGHT,104984,1000000000
2018,VOL_FAIL,27,1000000000
2019,ADV_FAIL,6141,1000000000
2019,EARN_WINDOW,9968,1000000000
2019,MISSING_LOOKBACK,1280,1000000000
2019,PARTICIPATION_CAP,132829,1000000000
2019,PRICE_FAIL,1172,1000000000
2019,TARGET_WEIGHT,100445,1000000000
2019,VOL_FAIL,160,1000000000
2020,ADV_FAIL,5898,1000000000
2020,EARN_WINDOW,10050,1000000000
2020,MISSING_LOOKBACK,1280,1000000000
2020,PARTICIPATION_CAP,125374,1000000000
2020,PRICE_FAIL,1699,1000000000
2020,TARGET_WEIGHT,106337,1000000000
2020,VOL_FAIL,2362,1000000000
2021,ADV_FAIL,2100,1000000000
2021,EARN_WINDOW,10741,1000000000
2021,MISSING_LOOKBACK,1760,1000000000
2021,PARTICIPATION_CAP,118521,1000000000
2021,PRICE_FAIL,50,1000000000
2021,TARGET_WEIGHT,118712,1000000000
2021,VOL_FAIL,116,1000000000
2022,ADV_FAIL,2061,1000000000
2022,EARN_WINDOW,11009,1000000000
2022,MISSING_LOOKBACK,1160,1000000000
2022,PARTICIPATION_CAP,111711,1000000000
2022,PRICE_FAIL,168,1000000000
2022,TARGET_WEIGHT,124703,1000000000
2022,VOL_FAIL,187,1000000000
2023,ADV_FAIL,1730,1000000000
2023,EARN_WINDOW,11363,1000000000
2023,MISSING_LOOKBACK,1040,1000000000
2023,PARTICIPATION_CAP,111346,1000000000
2023,PRICE_FAIL,408,1000000000
2023,TARGET_WEIGHT,123936,1000000000
2023,VOL_FAIL,162,1000000000
2024,ADV_FAIL,889,1000000000
2024,EARN_WINDOW,11761,1000000000
2024,MISSING_LOOKBACK,640,1000000000
2024,PARTICIPATION_CAP,101820,1000000000
2024,PRICE_FAIL,2,1000000000
2024,TARGET_WEIGHT,136562,1000000000
2024,VOL_FAIL,326,1000000000
