date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2020-08-31,19,19,0.9999999999999999,0.007420751403851651,0.0070128148959151424,0.0001,0.0002999999999999999,7.936507936507934e-06,0.9999999999999999,10077470.224887498,6578947.368421052
2020-09-01,19,19,1.0,0.0027243784808308083,0.0023162813479006557,0.0001,0.0003,8.09713293015238e-06,1.0,13158032.864356097,6578947.368421053
2020-09-02,19,19,0.9774933102166339,-0.010279003444031905,-0.010677758651532976,9.77493310216634e-05,0.00029324799306499016,7.75788341441773e-06,0.9774933102166339,50908278.222500004,6430877.040898908
2020-09-03,19,19,0.9999999999999999,-0.004698318488221491,-0.005107795631287522,0.0001,0.0002999999999999999,9.477143066031743e-06,0.9999999999999999,11369223.327021426,6578947.368421052
2020-09-04,19,19,0.650101047488162,-0.00885891865684934,-0.009129991885097822,6.50101047488162e-05,0.00019503031424644861,1.1032809253220334e-05,0.650101047488162,36558882.7,4276980.575580014
2020-09-08,19,19,1.0,0.013596944237188248,0.013180693817901582,0.0001,0.0003,1.6250419286666668e-05,1.0,13091807.172106251,6578947.3684210535
2020-09-09,19,19,0.9999999999999998,0.005186717902689743,0.004751392139267823,9.999999999999999e-05,0.00029999999999999987,3.532576342191999e-05,0.9999999999999998,18054484.951979995,6578947.368421052
2020-09-10,19,19,0.6009087552437002,0.003026239514850907,0.002773409250312085,6.0090875524370026e-05,0.00018027262657311006,1.2466762441342063e-05,0.6009087552437002,24413585.400000002,3953347.0739717106
2020-09-11,19,19,0.42273858609600007,0.002298828094215056,0.0021244685584104975,4.227385860960001e-05,0.0001268215758288,5.26410136615873e-06,0.42273858609600007,9336978.4075,2781174.9085263168
2020-09-14,19,19,0.8384920560749001,0.002521835590266739,0.0021735437998975306,8.384920560749001e-05,0.00025154761682246997,1.2894967939248412e-05,0.8384920560749001,30081788.925,5516395.105755921
2020-09-15,19,19,1.0,0.0006392786204457232,0.00022702319564621003,0.0001,0.0003,1.2255424799513159e-05,1.0,17005735.14808306,6578947.368421053
2020-09-16,19,19,1.0,0.007811247941930162,0.00740069532271601,0.0001,0.0003,1.0552619214152379e-05,1.0,30115052.67513333,6578947.368421053
2020-09-17,19,19,0.9999999999999998,0.0028807913118773024,0.002472027963240407,9.999999999999999e-05,0.00029999999999999987,8.763348636895236e-06,0.9999999999999998,19721361.482907325,6578947.368421052
2020-09-18,19,19,0.9999999999999999,-0.003854105524903335,-0.004265180509093652,0.0001,0.0002999999999999999,1.107498419031746e-05,0.9999999999999999,21396938.6392875,6578947.3684210535
2020-09-21,19,19,0.9999999999999998,0.002707267340141453,0.0022844361170293657,9.999999999999999e-05,0.00029999999999999987,2.2831223112087232e-05,0.9999999999999998,9707219.207298625,6578947.368421053
