date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2022-04-08,20,20,1.0,-0.008044172629714791,-0.008454581732470066,0.0001,0.0003,1.040910275527619e-05,1.0,8588885.867035,6250000.0
2022-04-11,20,20,1.0,0.011232781020318456,0.010823031198235212,0.0001,0.0003,9.749822083244444e-06,1.0,7582508.836946153,6249999.999999998
2022-04-12,20,20,0.9999999999999998,-0.00025920876943900066,-0.000667774918874664,9.999999999999999e-05,0.00029999999999999987,8.566149435663492e-06,0.9999999999999998,15692391.473551165,6249999.999999998
2022-04-13,20,20,1.0,-0.0005903421260279761,-0.0010001502361820143,0.0001,0.0003,9.808110154038097e-06,1.0,12240787.267991507,6250000.000000001
2022-04-14,20,20,0.9999999999999998,-0.0018945676025332284,-0.0023083044918840853,9.999999999999999e-05,0.00029999999999999987,1.3736889350857143e-05,0.9999999999999998,13456023.2751535,6250000.0
2022-04-18,19,19,0.9999999999999999,0.0008179370898179933,0.0004057973133933537,0.0001,0.0002999999999999999,1.2139776424639681e-05,0.9999999999999999,17544546.195557743,6578947.368421052
2022-04-19,19,19,1.0,-0.0030947312230818775,-0.0035079465354728107,0.0001,0.0003,1.321531239093333e-05,1.0,43842618.32039374,6578947.368421051
2022-04-20,18,18,0.5184752277577859,0.002104653514524152,0.0018909674934941918,5.184752277577859e-05,0.00015554256832733576,6.29592992684592e-06,0.5184752277577859,10128744.867475001,3600522.414984625
2022-04-21,18,18,0.9999999999999999,0.0005077110952130477,9.977458727653983e-05,0.0001,0.0002999999999999999,7.936507936507936e-06,0.9999999999999999,20641681.397593994,6944444.444444444
2022-04-22,18,18,1.0,-0.003815872752717346,-0.004223939342229092,0.0001,0.0003,8.066589511746032e-06,1.0,10613094.22992593,6944444.444444445
2022-04-25,18,18,0.5933231596771938,0.0014831081358668613,0.0012410699580302918,5.933231596771939e-05,0.00017799694790315816,4.708913965692016e-06,0.5933231596771938,12278647.33,4120299.719980513
2022-04-26,17,17,1.0,-0.00333042399114942,-0.0037394514404777575,0.0001,0.0003,9.027449328337904e-06,1.0,33605985.5578025,7352941.176470588
2022-04-27,15,15,0.9999999999999998,0.004455131926899482,0.004046243411710661,9.999999999999999e-05,0.00029999999999999987,8.888515188820441e-06,0.9999999999999998,27007146.93868473,8333333.333333332
2022-04-28,15,15,0.8541455043219802,-0.0006308859652515435,-0.0009793230995543195,8.541455043219802e-05,0.00025624365129659404,6.7789325739839684e-06,0.8541455043219802,32185468.817500003,7117879.2026831675
2022-04-29,16,16,1.0,-0.004098872116665134,-0.004506808624601642,0.0001,0.0003,7.936507936507936e-06,1.0,20758026.321042504,7812500.000000001
2022-05-02,17,17,0.9999999999999998,-0.0029558792313345147,-0.003363815739271023,9.999999999999999e-05,0.00029999999999999987,7.936507936507936e-06,0.9999999999999998,27690437.47561949,7352941.176470588
2022-05-03,17,17,0.9999999999999999,-0.0006493798786175002,-0.0010573163865540082,0.0001,0.0002999999999999999,7.936507936507936e-06,0.9999999999999999,43538512.5978255,7352941.176470588
2022-05-04,15,15,0.599323912789852,-0.00013647565897544008,-0.0003877294689445574,5.993239127898521e-05,0.00017979717383695559,1.1524244853176602e-05,0.599323912789852,18292034.5695295,4994365.939915433
